cm-1,CB-5e-3_0,AuNP_0,CB-5e-3_1,AuNP_1,CB-5e-3_2,AuNP_2,CB-5e-3_3,AuNP_3,CB-5e-3_4,AuNP_4
454.1614,-0.21291350312759633,-0.17496642796175463,-0.07559363450993047,-0.1263918368154991,-0.1033031924650056,-0.12242909259159665,-0.10608355871645989,-0.16735532118137414,-0.19262767057585975,-0.09327677883781296
455.1257,-0.21359555483787035,-0.1762550780219247,-0.07676700943067406,-0.1279308285413675,-0.10408818466865617,-0.1232377298435157,-0.10715121118435386,-0.16865020961921043,-0.19325510790154515,-0.09372654161264593
456.0899,-0.2139402443390493,-0.17719127899592674,-0.07731370192338782,-0.1287156442522384,-0.10466531906377242,-0.12359289370848417,-0.10755708968934315,-0.16936831699474364,-0.19343770788018627,-0.09395990948649613
457.0542,-0.21387922111253777,-0.17768739747321138,-0.0772746833134443,-0.12869675304849698,-0.10494762426080116,-0.1235881858676593,-0.10743005276473243,-0.16950580076300806,-0.19320697194161293,-0.09402982146982744
458.0184,-0.21349780717641378,-0.17791131509206162,-0.0769358818317151,-0.12814283379795707,-0.10498488161591127,-0.12349503489044156,-0.1071473038569356,-0.16935928891558596,-0.19281430977795325,-0.094112554209479
458.9827,-0.2130041218188528,-0.17808409960131155,-0.07658142292791706,-0.12747217998599633,-0.10491456281325513,-0.1235584848444728,-0.10707784827977285,-0.1692832500736114,-0.19254569765745344,-0.09435813016014209
459.9469,-0.21267199257724498,-0.17831392144677993,-0.07634252051120702,-0.12701790853003567,-0.10491210071013796,-0.12385582376043047,-0.10741639766860171,-0.16943727662060493,-0.19258251702207071,-0.09477381745128716
460.9112,-0.2127600979273054,-0.17855344993399236,-0.07621613662759946,-0.12688640259803285,-0.10515220310527768,-0.12429041741585392,-0.10817880755995486,-0.16970565635129264,-0.19293658090799118,-0.0952250226487318
461.8754,-0.2133714556596311,-0.17869871934944523,-0.07618977318437595,-0.1269441410056851,-0.10572816747039963,-0.1247021299681899,-0.10921599945680831,-0.1698309920698703,-0.19349261724927838,-0.09552897820388433
462.8397,-0.21436164914359188,-0.17868987724592586,-0.0762720478324426,-0.12693020575041908,-0.10654668805356625,-0.12494487984285194,-0.11023619682028633,-0.169630721504626,-0.1940703691177668,-0.09557421845870966
463.8039,-0.21548349347191764,-0.17863275966813563,-0.07654351454557577,-0.12673809575057854,-0.10743126673016369,-0.12506523245173484,-0.11097076579759849,-0.16923558215867673,-0.19458612755636706,-0.09547366199693182
464.7682,-0.21634780147656252,-0.1785633037469141,-0.07689189397153905,-0.12635358632636504,-0.10805551193298801,-0.12511004268324738,-0.11113483566599482,-0.1688159990665651,-0.1948775928810647,-0.09536896382168404
465.7324,-0.21687703271378228,-0.1786169328501057,-0.07728230140252203,-0.126077614674962,-0.10836776233767648,-0.12535031918263173,-0.11081441909260731,-0.168662338280935,-0.19499129814952423,-0.095561317178797
466.6967,-0.2172616520320925,-0.17891811053013967,-0.07773846572235767,-0.12628094791500527,-0.10858130181186303,-0.1260856628133403,-0.1103850848292911,-0.16896328083979292,-0.19507237672217914,-0.09628197882358973
467.6609,-0.21776817294881848,-0.1795007593736947,-0.07831231416803029,-0.12710540406739446,-0.10900227500371214,-0.12742835748446116,-0.1102537017043023,-0.16973234611830437,-0.19528209365513727,-0.09752553266921694
468.6252,-0.21851574027443177,-0.1802540890661232,-0.07897027217169739,-0.12834032137707332,-0.10976659619745148,-0.12914061106466668,-0.11056297490726069,-0.1708076882551909,-0.1956745613794557,-0.09900540225238133
469.5894,-0.21937211161172093,-0.1809501207296693,-0.07955063204870917,-0.1295293702580727,-0.11068208166635932,-0.13067892590256555,-0.11109134864502576,-0.17190109661721928,-0.19612466889765812,-0.10027699581329226
470.5536,-0.22005786545689196,-0.1813622733539212,-0.07984116183385499,-0.1302790584062461,-0.11136751043765368,-0.1314881886436104,-0.11147833953026495,-0.1727048652667791,-0.19642118851695323,-0.10097452968193762
471.5179,-0.22035345986382604,-0.18142303996340883,-0.07975464975760875,-0.1304982028013027,-0.11153494352988108,-0.1313388663977712,-0.11151835630983352,-0.17303380959842013,-0.19642532815685457,-0.10103018198736276
472.4821,-0.22024387090702702,-0.18127907205145874,-0.07942243467435584,-0.13043293220952204,-0.11122136829122986,-0.13048028638581893,-0.11132162114133388,-0.1729335793147833,-0.196211441120578,-0.10069340431574315
473.4464,-0.21994213345130353,-0.1812121453297877,-0.07912656794301919,-0.1304725047613352,-0.11080184593657366,-0.1294811417086404,-0.11120050578518499,-0.17266724372778874,-0.19605514423409828,-0.10036263790534745
