cm-1,AuNP_0,AuNP_15,AuNP_30,AuNP_60,AuNP_120
859.0,0.7426270714875055,0.7480589608131264,0.7474824768143002,0.6261165773692596,0.577598511906684
860.0,0.7533722633339516,0.7587365830591897,0.7581953414342996,0.6364782426615664,0.586640745596755
861.0,0.7648849688837153,0.7701768926085432,0.7696734106700133,0.6468399079538734,0.595682979286826
862.0,0.7756301607301613,0.779329140248026,0.7796210706742983,0.6546111569231036,0.6047252129768971
863.0,0.7833052977633371,0.786193325977638,0.7872731168314407,0.6623824058923337,0.6111839513269477
864.0,0.7856078388732899,0.789244075190799,0.7895687306785836,0.6675632385384871,0.6150591943369781
865.0,0.781770270356702,0.786193325977638,0.7872731168314407,0.6649728222154104,0.6150591943369781
866.0,0.7717925922135734,0.7762783910348651,0.7773254568271557,0.659791989569257,0.6086004559869274
867.0,0.7556748044439043,0.7602619576657701,0.7612561598971566,0.6468399079538734,0.5969747269568362
868.0,0.7326493933443771,0.7373813385670631,0.7383000214257293,0.6287069936923363,0.5801820072467044
869.0,0.703483872618309,0.7083992210420342,0.7084570414128738,0.6053932467846458,0.5595140445265421
870.0,0.6704807833756531,0.6756036670005543,0.6747880383214473,0.5768986672308017,0.5362625864663596
871.0,0.634407639319727,0.6397573637459133,0.6388234213828778,0.5484040876769578,0.5104276330661568
872.0,0.5975669815604833,0.6023856858846919,0.60132839521288,0.5199095081231139,0.4833009319959438
873.0,0.5614938375045572,0.5657766953267607,0.5645985736585963,0.48882451224619317,0.4548824832557208
874.0,0.5269557208552661,0.5314557666787002,0.5301643659514556,0.4603299326923492,0.4264640345154977
875.0,0.49395263161261027,0.49789752533392995,0.49726056747574304,0.4318353531385053,0.3993373334452847
876.0,0.4640195971832247,0.46815272050561085,0.46665238284717336,0.405931189907738,0.3735023800450819
877.0,0.436389103863792,0.4399332902838722,0.4391050166814606,0.3826174430000475,0.35025092198489943
878.0,0.4102936379509943,0.41400192197200425,0.41232285513146216,0.35930369609235696,0.3269994639247169
879.0,0.38726822685146695,0.3911213028732973,0.3886015120443207,0.33598994918466646,0.30633150120455466
880.0,0.3657778431585748,0.36976605838117077,0.3664105781886076,0.3152666186000527,0.2869552861544025
881.0,0.3465900005756353,0.3506988757989149,0.34575005356432315,0.2971337043385156,0.2701625664442707
882.0,0.3289371853993309,0.33315706782323956,0.32661993817146706,0.2815912064000553,0.25466159440414904
883.0,0.3135869113329795,0.3171406344541447,0.3090202320100395,0.26604870846159495,0.2404523700340375
884.0,0.2982366372666279,0.30188688838834005,0.2929509350800404,0.2530966268462113,0.2275348933339361
885.0,0.2844213906069114,0.2881585169291158,0.2784120473814698,0.24273496155390442,0.21590916430384485
886.0,0.27137365765051263,0.27519283277318185,0.2654035689143277,0.2323732962615975,0.2042834352737536
887.0,0.2590934383974314,0.26298983592053815,0.25392549967861405,0.22201163096929064,0.19394945391367246
888.0,0.24834824655098528,0.2523122136744749,0.24397783967432896,0.21164996567698371,0.18361547255359134
