cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
1101.173,0.6927483829637093,0.6967624055805298,0.6987653017001315,0.6938104052716094,0.6969908132289345
1102.137,0.668688708889274,0.6726495606073528,0.6747917770085501,0.6696512054003828,0.6729397767928879
1103.101,0.6450066781233778,0.6489121357487715,0.6511678813485708,0.6458692700401032,0.6492830731511692
1104.065,0.6217620483691145,0.6256219141431983,0.6279575750912187,0.6225170465466034,0.6260821236966577
1105.03,0.59901303392035,0.6028428979495951,0.605222074540191,0.5996413826347298,0.6033854994464859
1105.994,0.5768110966437472,0.5806261149243667,0.5830197298153691,0.5772870900075763,0.5812333364469582
1106.958,0.5551985157430852,0.5590074784645145,0.5613930659080374,0.5554952214181731,0.559658638356411
1107.922,0.5342037473385138,0.538008835699078,0.5403677838707481,0.5343048951017872,0.5386868795585009
1108.887,0.5138417515836811,0.5176425494414871,0.5199522368444607,0.5137487591316307,0.518336627081345
1109.851,0.4941196010975721,0.4979182252034777,0.5001513308280165,0.49385424186323823,0.498619431139668
1110.815,0.4750459959779134,0.47884879349592513,0.48097692389522795,0.47464008302958915,0.47954933024762286
1111.779,0.45663601803214227,0.46045156181065305,0.4624509203723862,0.4561184528613282,0.46114387346399804
1112.744,0.4389091793298926,0.4427414455368971,0.4445991957037331,0.43829360138171997,0.44342247598749496
1113.708,0.4218842215274218,0.42572861958182007,0.4274465177849583,0.4211674602155555,0.4264040492063243
1114.672,0.40557525031741437,0.4094180691205229,0.4110076641992799,0.40474283087528024,0.41009980018958636
1115.636,0.3899862496733543,0.3938117803692264,0.39528613975341864,0.3890240599772935,0.39450944601511717
1116.601,0.37511681143644915,0.37891445356537706,0.38027569269990685,0.3740142372657494,0.37962720970114255
1117.565,0.36095722335758473,0.364726335096354,0.3659657542680425,0.35970892201962423,0.36544086937013026
1118.529,0.3474911421861928,0.3512427624396029,0.3523433556867622,0.3460975854049681,0.3519426669511537
1119.493,0.33469665694986733,0.338449265626437,0.3394006115840045,0.3331671882287469,0.3391266585757145
1120.458,0.3225534392636415,0.32632727828759384,0.3271333135592021,0.3209045922572191,0.326987349342146
1121.422,0.31104893335456985,0.3148594576487177,0.31553673604786897,0.30930014347206025,0.3155156328283381
1122.386,0.30018301484565596,0.30403461449225916,0.30460404240740313,0.29834678897810196,0.30469780600198426
1123.35,0.2899596677103837,0.29384366966872516,0.2943220902601514,0.28803786437910267,0.2945154709126509
1124.315,0.2803813273166075,0.28427968866531467,0.2846761561524644,0.2783654459644505,0.2849523758955052
1125.279,0.2714402774788589,0.27533526109240775,0.27564983436957147,0.2693216207368456,0.2759974351280017
1126.243,0.263121026553176,0.26700628995118203,0.2672319063884128,0.26089875505375776,0.26764713431558496
