cm-1,182-17ppt-pp-1024scans_CB-1e-2_0,182-17ppt-pp-32scans_CB-1e-2_0,182-17ppt-pp-512scans_CB-1e-2_0,512scans_CB-1e-3_0
818.5,1.2216598458760346,1.2210360821843451,1.2195010086168758,1.1797436133238708
818.75,1.2105741364966007,1.2112557245655688,1.2091104283273193,1.168161089314934
819.0,1.1994884271171669,1.2014753669467926,1.1987198480377632,1.1578655124181012
819.25,1.1884027177377328,1.1910429854867643,1.1870304452120124,1.1482134090773206
819.5,1.1766649078065676,1.178654532502981,1.174042219850067,1.137917832180488
819.75,1.1642749973236706,1.1643100079954423,1.1597551719519272,1.1276222552836552
820.0,1.1505808857373112,1.1486614358054004,1.1461175353218847,1.1153962577186665
820.25,1.1368867741509516,1.1323608397741065,1.132479898691842,1.1025267865976254
820.5,1.1218884614611293,1.1160602437428124,1.1181928507937022,1.0883703683644805
820.75,1.1075422493230382,1.0991076238702668,1.1039058028955624,1.0735704765752836
821.0,1.0918918360814844,1.0828070278389728,1.0889693437293253,1.0581271112300346
821.25,1.0768935233916619,1.0652023841251756,1.073383473294991,1.0433272194408376
821.5,1.0612431101501083,1.0482497642526298,1.0571481915925593,1.0291708012076926
821.75,1.0455926969085543,1.0312971443800842,1.041562321158225,1.0143709094184956
822.0,1.0292901831152692,1.0149965483487904,1.0259764507238907,0.9989275440732466
822.25,1.012987669321984,1.0006520238412517,1.010390580289556,0.9834841787279976
822.5,0.9960330549769674,0.9876115470162168,0.994804709855222,0.9667538662706443
822.75,0.9790784406319508,0.9745710701911816,0.9779200168846929,0.9506670273693433
823.0,0.9627759268386655,0.9608785695248947,0.9616847351822613,0.9345801884680424
823.25,0.9471255135971116,0.9465340450173562,0.9448000422117324,0.9197802966788452
823.5,0.9314751003555579,0.9315374966685657,0.9285647605093007,0.9049804048896483
823.75,0.9151725865622727,0.9158889244785235,0.9123294788068691,0.8901805131004513
824.0,0.8995221733207188,0.8995883284472297,0.8960941971044374,0.8753806213112543
824.25,0.8825675589757023,0.8832877324159358,0.8811577379382003,0.8612242030781093
824.5,0.8669171457341484,0.8669871363846419,0.8662212787719633,0.8470677848449645
824.75,0.8512667324925947,0.8513385641945999,0.8512848196057262,0.8335548401678715
825.0,0.8369205203545036,0.8369940396870612,0.8376471829756836,0.8200418954907787
825.25,0.8238785093198754,0.8233015390207744,0.8240095463456409,0.8058854772576336
825.5,0.8114885988369788,0.8096090383544873,0.8110213209836956,0.7917290590244888
825.75,0.7997507889058133,0.7952645138469486,0.7980330956217503,0.7788595879034479
826.0,0.788012978974648,0.7809199893394102,0.7856942815279023,0.7672770638945111
826.25,0.7756230684917512,0.7665754648318716,0.7740048787021516,0.7563380134416263
826.5,0.7632331580088544,0.75483903568934,0.7629648871444981,0.7460424365447936
826.75,0.7521474486294206,0.7450586780705636,0.7525743068549419,0.735103386091909
827.0,0.741713839801718,0.738538439658046,0.7428331378334829,0.7241643356390242
827.25,0.7332365326292096,0.7339742727692837,0.7343907913482183,0.7145122322982436
827.5,0.7254113260084327,0.7294101058805214,0.7259484448629538,0.7055036025135148
827.75,0.7182382199393873,0.7235418913092557,0.7181555096457868,0.6971384462848383
828.0,0.7117172144220733,0.7163696290554863,0.7116613969648141,0.6900602371682659
828.25,0.7058483094564905,0.7085453429604653,0.7058166955519387,0.6829820280516935
828.5,0.6999794044909079,0.7007210568654443,0.7006214054071606,0.6765472924911731
828.75,0.6941104995253251,0.6942008184529267,0.6954261152623823,0.6701125569306526
829.0,0.6895457956632054,0.6889846277229127,0.6902308251176043,0.6649647684822362
829.25,0.6849810918010855,0.6844204608341503,0.6856849462409234,0.6598169800338198
829.5,0.6804163879389656,0.6792042701041363,0.6811390673642426,0.6553126651414556
829.75,0.6765037846285772,0.6726840316916187,0.6778920110237563,0.6514518238051433
830.0,0.6738953824216515,0.666815817120353,0.6746449546832699,0.6482344560248832
830.25,0.6725911813181886,0.6635556979140942,0.672696720878978,0.646304035356727
830.5,0.6719390807664574,0.6642077217553459,0.6720473096108808,0.6443736146885708
830.75,0.671286980214726,0.6674678409616047,0.6713978983427836,0.6424431940204147
831.0,0.671286980214726,0.6713799840091152,0.6720473096108808,0.6411562469083106
831.25,0.6719390807664574,0.6739880793741222,0.672696720878978,0.6392258262401546
831.5,0.6719390807664574,0.674640103215374,0.6733461321470754,0.6379388791280504
831.75,0.6732432818699202,0.6733360555328706,0.6746449546832699,0.6366519320159464
832.0,0.6745474829733831,0.6726840316916187,0.6752943659513672,0.6360084584598943
832.25,0.6758516840768457,0.6739880793741222,0.6759437772194643,0.6353649849038423
832.5,0.67780798573204,0.6765961747391294,0.6765931884875617,0.6360084584598943
832.75,0.6804163879389656,0.6805083177866398,0.6778920110237563,0.6360084584598943
833.0,0.6830247901458913,0.6837684369928986,0.6804896560961452,0.6372954055719984
833.25,0.6862852929045483,0.6863765323579055,0.684386123704729,0.6392258262401546
833.5,0.6901978962149368,0.6889846277229127,0.6889320025814096,0.6417997204643627
833.75,0.6947626000770567,0.6922447469291715,0.6934778814580905,0.645660561800675
834.0,0.6993273039391764,0.6968089138179338,0.6986731716028687,0.6501648766930392
834.25,0.7045441083530278,0.7033291522304513,0.7032190504795496,0.6546691915854036
834.5,0.7110651138703419,0.7085453429604653,0.7084143406243278,0.6598169800338198
