cm-1,ambient_CB-1e-6_0000-s,ambient_CB-1e-6_0030-s,ambient_CB-1e-6_0060-s,ambient_CB-1e-6_0120-s,ambient_CB-1e-6_0180-s,ambient_CB-1e-6_0240-s,ambient_CB-1e-6_0300-s,ambient_CB-1e-6_0900-s,ambient_CB-1e-6_1200-s
416.0,2.235094217251179,2.3208459180863343,2.3464477121692076,2.010152531178696,2.148988602962915,2.340464817491545,2.0526301642797287,2.046108953444029,2.238450695364643
416.5,2.1473120358643207,2.3890918755943598,2.33508688695676,1.962611611756439,2.082069913607529,2.28637768653853,2.012058282835849,1.9818230709694526,2.1382145181524614
417.0,2.000621199812835,2.397994039391294,2.4527424284608643,2.014557776128902,2.0759637594382547,2.383077066151872,2.054563352429291,2.000328626953806,2.1984654436976765
417.5,2.0094832561907205,2.303902155093998,2.657305402091444,2.096281786241256,2.059221809901057,2.594145618861454,2.100312919788436,1.9948354224677607,2.4183605774070305
418.0,1.9915375901230972,2.223102558566017,2.349500950230166,2.06606143350835,1.9540485838279273,2.5392055340333575,2.0216604419780797,1.861708801007761,2.5810231389502793
418.5,2.1481834012897565,2.1658860759953447,2.096412868730278,2.044800010876238,1.8806968536678266,2.5704047892815938,1.9776731494385815,1.7628779133759984,2.591627485939885
419.0,2.18487756172909,2.18645105861357,2.079840809356699,2.200925958903995,1.937718998554386,2.3993897124656085,2.1339073276360723,1.8083715415297332,2.900447913195136
419.5,2.0561152925464503,2.2004984886182886,2.1734579683272695,2.291779457469298,2.0293073531448207,2.428883178443682,2.3753530144750106,1.9065128739472816,2.897228731008293
420.0,1.9521116920408343,2.0655861802782742,2.249592745545387,2.083062382080121,2.020456308439805,2.5802510299549493,2.289784451218895,1.9272603464567868,2.3385419791789808
420.5,2.0610328628384247,2.0224337093755382,2.3331238728342356,1.9961871278244618,2.0370796090575154,2.1777682908395204,2.1576825031324005,1.9854590952443172,2.1986052352971095
421.0,2.50897741364299,2.1086883483654715,2.516001798199918,2.070743763814963,2.1428203057547504,2.1299920949029865,2.138029018352916,2.1274457696206333,2.2006962024997536
421.5,2.3777391585792693,2.185852728219982,2.6144096754177757,2.200760596457238,2.206103681755952,2.1263942788015737,2.0870401986837774,2.192370746467526,2.115547549850608
422.0,1.9905471650399609,2.1809477399369683,2.370987109816971,2.18828728022362,2.110879807598108,2.0584051221500705,1.9803820877843112,2.0490298933510105,1.9805837975533689
422.5,1.9028500100036805,2.21197485707699,2.231954328490058,2.0893813052129517,2.026205897613269,2.0449992989101613,1.93904140896995,1.9484549143062584,1.9411199744903678
423.0,1.9761697359217114,2.3416223624718624,2.223702959113972,2.1104400360198454,2.057581887688194,2.118670967350968,2.00844154742707,1.9724407906388874,2.063407596152873
423.5,2.312102378243719,2.4264189877721494,2.1453540522245422,2.228852765078501,2.141965133217076,2.156266414795932,2.0946619698938886,2.007803197977873,2.240314759007191
424.0,2.6739035619454747,2.6324758189396937,2.0037156391696063,2.2569932812619253,2.1618475755418025,2.106187305951192,2.0861933886966617,1.95356477870452,2.2236090036383485
424.5,2.0668712626998853,3.1719553891012007,1.9718461956701956,2.238973795197106,2.1656905673290034,2.1002012904725986,2.075419455655642,1.927227967889759,2.1566667013508587
425.0,1.980966833929489,2.843832525927547,2.065715177966301,2.297745362025273,2.193721319908266,2.2041495499387316,2.143367976295982,2.014158492215738,2.1309419161476404
425.5,2.033967207840056,2.7470817087872446,2.1495822080746536,2.2762275566974592,2.156908180078746,2.334366023315691,2.224038430427313,2.1407823888138857,2.1064814440394306
426.0,2.250631082150615,2.757869995961684,2.0770325872660798,2.1144380115859205,2.057738544708592,2.2987855021876764,2.169548669310379,2.1309705659780445,2.064741603852883
426.5,2.3177182433851065,2.564471111024221,2.0219652889581377,2.027989021163558,2.009603401799228,2.244100774520397,2.09934853480714,2.118584455039068,2.0879889084612517
427.0,2.1447313826666083,2.573201174403703,2.083895240425679,2.0650029970229093,2.063279956268327,2.329200598441334,2.1109446169160906,2.2186352733633288,2.2074947474951547
427.5,2.0910984909409183,2.465730629539975,2.1832273098134882,2.135037108883001,2.1619011695128623,2.4371571761117536,2.1192961418844005,2.2751727926515803,2.2409410191854726
428.0,2.0667491334296177,2.2915411989978343,2.171613653690379,2.121368911624776,2.1763797216195075,2.334029625343622,2.062330175458351,2.12767955214622,2.11449015666106
428.5,2.1880491893905956,2.2205172716725556,2.1236904675139807,2.0816770404182576,2.132961938105998,2.234569364795608,2.0301250472779873,1.997375684017891,2.0516778075962585
429.0,2.815963396524262,2.2156976301993603,2.144772112665186,2.09241128388924,2.122566462908084,2.2455550982676256,2.077923107371315,1.9654748854411466,2.0958287543881267
429.5,2.5251591399331645,2.234718373467871,2.1841765780493345,2.0977701222251266,2.110455512266038,2.2672869018557504,2.1398946001539065,1.9689493484967056,2.1474814343543422
430.0,2.1101344917578952,2.2347010590586027,2.1753364461073916,2.053129404261984,2.0662656900054364,2.218572023160287,2.1264734898154836,1.9570612726077672,2.1130745470059447
430.5,2.0471955711145178,2.2303958711717917,2.1857436818765,2.028283691491288,2.055784354522933,2.1997073916294365,2.102806473528651,1.9727426428888621,2.088023760961398
431.0,2.1944494276662856,2.2823471705179825,2.248681994145124,2.0621404656272895,2.101054988362149,2.2795192165037523,2.1366870998581047,2.0617488245196878,2.137316249813393
431.5,2.299101220285237,2.3460471338655275,2.228411004929993,2.089597953554305,2.131143894802613,2.3562606977682456,2.1626271424313006,2.156152614762001,2.1662949500942013
432.0,2.0614853318277215,2.3304219495088123,2.104590669981098,2.0549399588845367,2.1160307668922775,2.2957761636493736,2.1206882245687875,2.1238364346901473,2.105589636307652
432.5,1.9575663821310003,2.2671159079636714,2.047842021699541,2.030350099003831,2.104176957297772,2.241773374450873,2.1048762618472625,2.0538197969529572,2.075228499364522
433.0,2.043521002563964,2.277303487530146,2.09010397255934,2.0595139674151794,2.123630009954311,2.28405901955173,2.1660791068432257,2.0323818747242504,2.127471004411818
433.5,2.327032926905502,2.3055857406005393,2.127322907736322,2.0830464604644305,2.1156358955357955,2.3272827867840373,2.221988219498907,2.0088679080173777,2.157039616033761
434.0,2.5557341881261566,2.261574910548043,2.095957201378951,2.041306504223033,2.057464953065685,2.2557961758784795,2.202760875990258,1.958033557432168,2.080993505689444
434.5,2.233938583049458,2.240804167102316,2.0932524369814547,1.997604079897742,2.0380630634510615,2.1876357092458343,2.1811427984542733,1.9454808891946194,2.0203723378085057
435.0,2.1351419781696253,2.3343473219807778,2.1867005795809757,2.008337971286595,2.0934545950473984,2.2378528816349075,2.197349051596117,2.0034296522896704,2.0372974443468608
435.5,2.100632583668873,2.441697306144228,2.2973788954795205,2.0432183625918854,2.144557482102778,2.3715655126588824,2.153873045429238,2.0606310203730023,2.069900361739899
436.0,2.1187140492540313,2.377447734551206,2.25626329791132,2.04610244030182,2.1158063233946405,2.4563236606367718,2.0381635814229164,2.025159060152476,2.050412364229647
436.5,2.2557226098383754,2.3005918717209397,2.184049256103725,2.0414780273396267,2.084996600102826,2.495965218282768,1.982392464581746,1.9754040887374795,2.0441577832484157
437.0,2.2054187871613014,2.3044332083769676,2.184117986735614,2.0750784794034707,2.1118258369268026,2.508400351574645,2.0228471736742386,1.991500275630593,2.1205911337638716
437.5,2.0378099333832145,2.2980694465833773,2.1608208519480927,2.1018530282054266,2.1360818753453703,2.531069836049936,2.0867819865753425,2.0267788091724586,2.227790108480216
438.0,1.9782855725198043,2.241280607351059,2.0618788950230966,2.0909999173989937,2.102098489033822,2.50401725896126,2.0918029809243164,2.012399040133161,2.254745488708117
438.5,2.051689777109803,2.252325434895127,1.998742110526172,2.1222112257523253,2.0822675039195633,2.3545785183716985,2.09375018286996,1.9868918023491835,2.26475865884216
439.0,2.2517048105011837,2.3925201018897813,2.018478369468837,2.2552986740554193,2.1203327958615437,2.2799360129866004,2.1570872311611136,1.9930229997547528,2.3245025816731415
439.5,2.2405878859637838,2.5083597844580483,2.053763806365182,2.387703505705847,2.1481911542239005,2.251433477256977,2.221278072997531,2.006710861211826,2.2841105974954377
440.0,2.0719543902754727,2.4098072257765244,2.0328199179377,2.323693784220714,2.1004840821497823,2.217216716375085,2.1848885324560094,2.0094373351225343,2.1231003675578846
440.5,2.0498240563962895,2.3189727576146044,2.014061294101034,2.2354521808502517,2.048316820982683,2.213020775785903,2.1203228024616623,2.03491690109455,2.0237899936411887
441.0,2.254619964490125,2.355916018769267,2.0646437008137166,2.237738701954986,2.0458116955584478,2.3052838426004074,2.1151831258683838,2.118441809948432,2.0287456530032624
441.5,2.623506247263087,2.4568338869174435,2.1565785647873374,2.249922711105823,2.0569443375334364,2.4106810018032063,2.1382195797948746,2.1880158700284937,2.0726430142233823
442.0,2.4058674899123997,2.4381208715995366,2.1876613661300834,2.1870220772089213,2.0444037939800976,2.3572746600706553,2.128725346834949,2.1237284691614082,2.0753228009375135
442.5,2.195058689363793,2.3921371378057272,2.1882340716925714,2.1443430657706455,2.060682715927986,2.3066827436783233,2.124780934119503,2.054956846809827,2.0792669009436624
443.0,2.12733805786542,2.4391995949875476,2.2380599128812504,2.2036255177543254,2.148495711568921,2.3682425515649554,2.159770822116048,2.0560223311656967,2.1409492523840967
443.5,2.128685626742595,2.444841447704893,2.2597290518518767,2.29874377894669,2.2340785980978235,2.469034122279749,2.1567655558539656,2.0472889962793572,2.18636370946786
444.0,2.2947211940659358,2.322019457840134,2.1916330074549286,2.2988970391368553,2.219307857920865,2.3998496599767236,2.0823806548776904,1.9988622297021323,2.1359410220502526
444.5,2.461439731196213,2.2625717768103444,2.147070869188314,2.274733094064285,2.186524904414377,2.31070812630207,2.039843323484752,1.9754306511683497,2.0964759358369367
445.0,2.284097716187805,2.338105403471818,2.1879032675224392,2.2939134196004813,2.2148975756477065,2.3417352483651594,2.070307831712993,2.0078023196303647,2.1246109678899914
445.5,2.214498694902672,2.451286273524834,2.2501683277575055,2.2477359725574915,2.233749491817164,2.358604781383194,2.1124696860354315,2.0559516706409697,2.137489579128413
446.0,2.278425862896254,2.4225394700977834,2.2557838138920476,2.1166616886622767,2.177722156065899,2.2540263025403786,2.0987914848082276,2.07204732427868,2.07400191112674
446.5,2.4983327977556633,2.3584608010660735,2.282327663321542,2.0361841665015135,2.1313012894100973,2.178871638529184,2.0790511106692615,2.0764342251367136,2.0286364484444768
