cm-1,CB-5e-3_0,CB-5e-3_20,CB-5e-3_86400,no-agent_86400
499.4811,0.4394385510703075,-0.18951551629280897,-0.0309549630529478,-0.03323665636959398
500.4454,0.43852087736760853,-0.1914323486481502,-0.03253245793265417,-0.03518505081699579
501.4096,0.4372577561475227,-0.19334747991850082,-0.03443065103273927,-0.03710486202884203
502.3739,0.43592555458580856,-0.19536392947049083,-0.03663124536058349,-0.03901566369178014
503.3381,0.4347969980232381,-0.1975808581121131,-0.039024453632282755,-0.04098483309901716
504.3024,0.4339546347195027,-0.2000191767417895,-0.04154766432766443,-0.04307932356498798
505.2666,0.4332535013184465,-0.2026283506883338,-0.04424908687865106,-0.045317860818795776
506.2309,0.4324331264523647,-0.20532419698964663,-0.0472348960586645,-0.047690198706780304
507.1951,0.4313007448178275,-0.20802535399532057,-0.0505234794394957,-0.05015393935172687
508.1594,0.4298362690608534,-0.21071970666103185,-0.05393764284917115,-0.05264096349757718
509.1236,0.4281932288664342,-0.21344770761765616,-0.057187303827239945,-0.055053968016123486
510.0879,0.4260408356756186,-0.21765312163361694,-0.06137456579286534,-0.05841089060772653
511.0521,0.4240764894359864,-0.2221151090540243,-0.06523179988345945,-0.06164369341378351
512.0164,0.42236977439086204,-0.2268526722429203,-0.0689744246813199,-0.06485678120693567
512.9806,0.4208466398955225,-0.23184660138687374,-0.07294189895167501,-0.06825278050870492
513.9449,0.4193145955020088,-0.23706308223546033,-0.07739109456819705,-0.07204074818532415
514.9091,0.41754067829430563,-0.2424897093152115,-0.08242170190127403,-0.07630798853229127
515.8734,0.41536260902160504,-0.2481305486341537,-0.08801102287619443,-0.08101203300926291
516.8376,0.41276895827725163,-0.254001615285126,-0.09409325438904094,-0.08603664076954207
517.8019,0.4099227840692202,-0.26013058301663505,-0.10059097788921295,-0.09126274444128411
518.7661,0.40707942712976325,-0.266550187342282,-0.10740114624879459,-0.09661802031227364
519.7303,0.4044576953181564,-0.27329129673116553,-0.11439178028689272,-0.10208914838275233
520.6946,0.402117438413138,-0.2803638687539631,-0.12147965372956496,-0.10771220217991707
521.6589,0.399921755485692,-0.2877142984885295,-0.12865474958609355,-0.11354929459388738
522.6231,0.3976231849937252,-0.2952600210780005,-0.13599699065475856,-0.11964953649910362
523.5873,0.3950085536151106,-0.3029176833578331,-0.1435458055160449,-0.12597045935522244
524.5516,0.39203438837623733,-0.31067292983030126,-0.15128867293155532,-0.13241765722231236
525.5159,0.38787726809622364,-0.3202912792663322,-0.16068604883519477,-0.1403070895459892
526.4801,0.38360372361975864,-0.3302347433849704,-0.17033811205602015,-0.1484003849959401
527.4443,0.379307938754792,-0.34058667535075865,-0.18035441010954073,-0.15687080956371577
528.4086,0.37492408561609825,-0.3514161143203916,-0.19091839245874204,-0.16591508939959254
529.3729,0.37028315099383785,-0.3627694459772733,-0.20216646067935545,-0.1756184442367719
530.3371,0.36527368099465435,-0.37467816113867014,-0.2140921676656531,-0.1858931104694194
531.3013,0.3599530975072952,-0.38718441352044847,-0.22656465315591764,-0.19654409319391178
532.2656,0.35450539336475123,-0.40034886132398284,-0.23946445920765308,-0.20741190572879303
533.2299,0.34909106125727113,-0.4142178902326776,-0.2528284568717994,-0.21847849364468255
534.1941,0.34370261137327907,-0.4287909193882431,-0.26684824773676663,-0.22986723476427523
535.1583,0.3381349557224102,-0.44398335092980185,-0.28175896467509487,-0.24174959316934003
536.1226,0.3321032295139379,-0.4597021645512787,-0.2976236401336944,-0.254239760475842
537.0869,0.32540628435257696,-0.4759303079128891,-0.3143044872083303,-0.267356639070706
538.0511,0.3180244451675519,-0.49278955380603834,-0.3315989815281608,-0.28107168104994085
539.0153,0.31012732068888843,-0.5104842813688739,-0.349461034279511,-0.29542629500695955
539.9796,0.3020020890741916,-0.5292027301770706,-0.36809876442910233,-0.3105657643343511
540.9438,0.2938803847713684,-0.5469776576737347,-0.38506488261173266,-0.324986342322003
541.9081,0.2858802123958264,-0.565862148972972,-0.4031235987287174,-0.3403730972682493
542.8723,0.2778347346768689,-0.5859428349396737,-0.4222562108452591,-0.3567182915604985
543.8366,0.2693387230322385,-0.6072599192654481,-0.4423817838076327,-0.3739823538466833
544.8008,0.2599876818275993,-0.6298038592783965,-0.46348992765206193,-0.3921501975488283
545.7651,0.2496538032690898,-0.6535414630762622,-0.4857586570912491,-0.411237721870889
546.7293,0.23859774196139535,-0.6784884968126169,-0.5094096246857579,-0.4312346806592051
547.6936,0.22724552388405408,-0.7047652811331423,-0.5346122134860765,-0.45211634181873467
548.6578,0.21582573717017323,-0.7325290626747809,-0.5614774628999488,-0.4739653812100465
549.6221,0.20411254224135225,-0.7619619820011679,-0.5901766741250216,-0.49705738503503616
550.5864,0.19154042396668805,-0.7933104889865616,-0.6209608047478947,-0.5218110323311989
551.5506,0.17752989539551828,-0.8269650033812598,-0.6541287660341355,-0.5486195634097009
552.5148,0.1618196147844811,-0.8633943608046425,-0.6898595850518915,-0.5776525697794013
553.4791,0.14458045061784294,-0.9029669913717621,-0.7282560958016162,-0.6088980387084223
554.4434,0.1262569816194122,-0.9457862048783938,-0.7694941284395261,-0.6423298248391485
555.4076,0.10727431758382497,-0.9918163200296112,-0.8140622776724401,-0.6781507313509232
