cm-1,CB-5e-3_0,no-agent_0,CB-5e-3_60,no-agent_60,CB-5e-3_300,no-agent_300,CB-5e-3_3600,no-agent_3600
2093.385,-0.08784641497902333,0.04086041810809936,-0.07785076092103647,-0.06120965531161547,-0.07408058839506733,-0.058046182155473976,-0.05145523147792025,-0.049147672561128695
2094.349,-0.08790651007234244,0.04075430122120083,-0.07790382208017158,-0.06127861264059848,-0.0741396845727116,-0.05802978611186532,-0.051507366635500366,-0.04923652211800874
2095.314,-0.08791595470207532,0.04067211180404578,-0.0779786529095284,-0.06133827398786082,-0.07414740206927,-0.05800749715530165,-0.05153970849315907,-0.0493184046830636
2096.278,-0.0878811103337032,0.04062218122862924,-0.07805722019316182,-0.06137255681977692,-0.0741282994244494,-0.057947319354242036,-0.0515343078042625,-0.04938368621290999
2097.242,-0.08781925191169243,0.040613619230419826,-0.07810434512634767,-0.06136990181530339,-0.07410186147622122,-0.05782872618220981,-0.051486805268355994,-0.0494253010620299
2098.206,-0.0877419812163685,0.040654411242090946,-0.07808162116921212,-0.06133073530022382,-0.07406783576672436,-0.057664350656411636,-0.05141197753007589,-0.04945096803142496
2099.171,-0.08765670990494853,0.0407410978704267,-0.07797182905641298,-0.061262939102440093,-0.07400935670829603,-0.05748967954481561,-0.051338028571411246,-0.04947335901784752
2100.135,-0.08756244100487248,0.0408589190377058,-0.0777931879495073,-0.06118906689572409,-0.0739105054302524,-0.05734310864574582,-0.05128699361823158,-0.04949529415617215
2101.099,-0.08745816335179998,0.04098789674810623,-0.07759014586655133,-0.0611333984533619,-0.07377709196975714,-0.057237407071396344,-0.05125722928346074,-0.04950147872215759
2102.063,-0.08733591890497572,0.04111214662111159,-0.07741066274178052,-0.06111953420023639,-0.07362887816715696,-0.05716816194180029,-0.05122311256775979,-0.049467174451862064
2103.028,-0.0871897293769842,0.04122088688119886,-0.07728687208197338,-0.06114585201873189,-0.0734878664263155,-0.05712409438487577,-0.051151301742175276,-0.04937348406033004
2103.992,-0.08701830331582593,0.0413085824992226,-0.07722229282012467,-0.0611849526786091,-0.07336067675336733,-0.05709532390453652,-0.05102111434788352,-0.04922645603948787
2104.956,-0.08683603473458362,0.04137462808136997,-0.07718757712522636,-0.061195655882022,-0.07323704252862917,-0.057080458929536275,-0.05084373579628917,-0.04905357734927089
2105.92,-0.08665980830376772,0.04142009027388262,-0.07714056095268143,-0.06114779301416946,-0.0731064306491199,-0.05707526350339175,-0.05065681176060406,-0.048893261696559
2106.885,-0.08650532368024073,0.04145073473212035,-0.07705005455740185,-0.061040795640673357,-0.07296539436376416,-0.05707879857068983,-0.050506225607994414,-0.04877454048185814
2107.849,-0.08637708320627575,0.04147668018123981,-0.07690813595463973,-0.06090087759813072,-0.0728242283431187,-0.05708470169076889,-0.050430986158004704,-0.048702921302709826
2108.813,-0.08627064485466558,0.04151185067893505,-0.07673732912228765,-0.06075285589963623,-0.07269642856367298,-0.057090604810847954,-0.0504444377136933,-0.048662163720162174
2109.777,-0.08617334246156862,0.041570343252560996,-0.07656735027416964,-0.06061048388429038,-0.07258962836936497,-0.05709366354569007,-0.05053032285217422,-0.04863128171245265
2110.742,-0.08608118458879949,0.041653253376636036,-0.076410489362709,-0.06047739398641207,-0.07249845251156956,-0.05709316679898601,-0.05064710020792457,-0.04860107667318709
2111.706,-0.08599344035967711,0.04174832903352041,-0.0762571719430975,-0.06035578022405839,-0.07240768689779835,-0.05708981886229564,-0.050751688821213246,-0.0485779304757366
2112.67,-0.085912852335728,0.04182867344096029,-0.07609411167510476,-0.0602509734025561,-0.07230257326225664,-0.057080537184154026,-0.050816365617006115,-0.04857770595353911
2113.634,-0.08583694759924974,0.04186825466500584,-0.07592350482199565,-0.06016687630916006,-0.07218210878621852,-0.05705582573681441,-0.05082998324128347,-0.04860422678765493
2114.599,-0.08575222621931311,0.04185323513279336,-0.07577146797122072,-0.060101825233495165,-0.07206055032611577,-0.057003793220751484,-0.0507963405130129,-0.04864568515160688
2115.563,-0.0856486936347019,0.04178716072236917,-0.07566392825621086,-0.060054634781919226,-0.07196670612898326,-0.0569258312072116,-0.050726702418131174,-0.048683622599279996
2116.527,-0.08552531384546044,0.04168885629848328,-0.07561106005950319,-0.060029689524483155,-0.07193487189397481,-0.05684470158283964,-0.05063864454894747,-0.04870758864293647
2117.491,-0.08539257102922236,0.041581413310851974,-0.07559023765937975,-0.060032112302716836,-0.0719838697571765,-0.05679224036756638,-0.05056281347961034,-0.04872493468361843
2118.456,-0.0852737255137595,0.04148247466487648,-0.07556297733099573,-0.06006219079987262,-0.07210689738177627,-0.05677966859310405,-0.05053354389084348,-0.048754149784104146
2119.42,-0.08518332032584687,0.041395557410326335,-0.07550185034239411,-0.0601056344370414,-0.07226975724667739,-0.056791818473105396,-0.050570487232315414,-0.04880925977803388
2120.384,-0.08512841587614131,0.04131016805444655,-0.07540457973693121,-0.06013988954045125,-0.0724312776823712,-0.05679516640979577,-0.0506630808498293,-0.048890533411674326
2121.348,-0.08510680534281939,0.04121157534779266,-0.07529213877626464,-0.060145996743953045,-0.07257096752580126,-0.05677089386879055,-0.050781152156666974,-0.048986836425140796
2122.313,-0.08511376995895974,0.04109286050393279,-0.07519666447558072,-0.06012076033720133,-0.07269076929995409,-0.05672777897677792,-0.050890124288746154,-0.049087493808498014
2123.277,-0.08515035282040816,0.04096091348102201,-0.07514516806631168,-0.060082609378663214,-0.07280820428165945,-0.0566970079001237,-0.050976182415340354,-0.04918728371972856
2124.241,-0.08521934970786692,0.04082735207461047,-0.0751520761212136,-0.060059501134766276,-0.07293340935531091,-0.056711743584885906,-0.05105601296985649,-0.04929429235979361
2125.205,-0.08532959855246473,0.04069874913180841,-0.07521721672830575,-0.06007384023856133,-0.07306144756718098,-0.056791590514001476,-0.051161348891794536,-0.0494177999795228
2126.17,-0.08548867776483622,0.040562996776360105,-0.07533298015113186,-0.06013030240941497,-0.07318316381344689,-0.05693306805816732,-0.05132836545540346,-0.04955903124544791
2127.134,-0.08569489142724576,0.04039899270964842,-0.07548430830353696,-0.0602160389507431,-0.07329880353925135,-0.05712597930045145,-0.05158114260605174,-0.049713951561717054
2128.098,-0.0859382414305321,0.04018451033026099,-0.07565784818554297,-0.060313542776911526,-0.07342370355965402,-0.05736131815506176,-0.0519236590703448,-0.04987614163459285
2129.062,-0.08619864995363646,0.0399125443669356,-0.07584667770861689,-0.060415514358649634,-0.07358587617815558,-0.05763674038584009,-0.05233465460916061,-0.05004442442346421
2130.027,-0.08645575179195082,0.03959301174689122,-0.07604833046209537,-0.06052854614831863,-0.07380667862853027,-0.05794679198616582,-0.05276975777144304,-0.05022357612780506
