cm-1,CB-5e-3_0,CB-5e-3_1,CB-5e-3_5,CB-5e-3_10,CB-5e-3_20,CB-5e-3_30,CB-5e-3_120
472.4821,-0.08413843423584244,0.04428186219938149,-0.04325801623160134,-0.06339738230499492,-0.06685248685169272,-0.05292503292522566,-0.039269049653924144
473.4464,-0.08442680023500504,0.04398447475180297,-0.04374532467181217,-0.06428739088218632,-0.06713658644821979,-0.05262202682212699,-0.04037944266699219
474.4106,-0.08472551360939541,0.04347802824038675,-0.04423105439400873,-0.06525583681070507,-0.06748006628949782,-0.05243207407456492,-0.04154584031880565
475.3749,-0.08490961621515776,0.04276321651961616,-0.04472725123290269,-0.06613949192403888,-0.06796832634603552,-0.05264929353102433,-0.04232158036363938
476.3391,-0.08494115058465769,0.041889413000097304,-0.0452246627475291,-0.06677529212864318,-0.06862769772400358,-0.053303300310703954,-0.0424322750024845
477.3034,-0.08491293202420003,0.04099684354886388,-0.04570946614431546,-0.06706600848201187,-0.06939802561987382,-0.054211411202416085,-0.041859564033312736
478.2676,-0.08496209487538138,0.040317259103417116,-0.046166407691215126,-0.06703208028682958,-0.07016927208796228,-0.05515610427717334,-0.040671932558347584
479.2319,-0.08534656806137221,0.03985404397440012,-0.04677590458047623,-0.06701963517767999,-0.07109410694474193,-0.056221195012331616,-0.03897111881047753
480.1961,-0.08586690054074031,0.03974687531739295,-0.04728403912271103,-0.06705540657556382,-0.07196064749596079,-0.057221944063226574,-0.0369267800042459
481.1604,-0.0864928432472846,0.039701289785853904,-0.047644999660473246,-0.06732181918422017,-0.07283789564113025,-0.058134955689605285,-0.0350205470850609
482.1246,-0.0872466907238645,0.0393333982265932,-0.047882243492477314,-0.06790233727143517,-0.07379059904486958,-0.05886269779475379,-0.033896217869909734
483.0889,-0.08817340123906144,0.03844078983454694,-0.04807440375159876,-0.0687789826290404,-0.07481761338416117,-0.0593416477492317,-0.034042590149697086
484.0531,-0.08926438787296384,0.03715291095174017,-0.048332012325111195,-0.06987039950143108,-0.07587316963055545,-0.0596252718205665,-0.03544710430730917
485.0174,-0.09041839538882838,0.03580787049575946,-0.048720117441333526,-0.07107522570367943,-0.0769089376517063,-0.05992648008133603,-0.03758650835079054
485.9816,-0.09150638070279359,0.034741497576603324,-0.04925352949369191,-0.07226178046096593,-0.07791480536870292,-0.06042943411969054,-0.03973749463605749
486.9459,-0.0924551977510589,0.03411633468713619,-0.04991179723558131,-0.07327506369156528,-0.07886771895422098,-0.06112033914921418,-0.04134905749744194
487.9101,-0.09328855285909671,0.03388049142421297,-0.050681764683549416,-0.07398659229807197,-0.07971061016307576,-0.06176237957191667,-0.04222549473278114
488.8744,-0.09406635278305722,0.03385210357165325,-0.05155001273447484,-0.07437399301133041,-0.08038642242684796,-0.0620976924598562,-0.04243475285542926
489.8386,-0.09484597469281107,0.033798627215403436,-0.05251226659483036,-0.07460097574401352,-0.08091539158012467,-0.062105244077352136,-0.042207134530752886
490.8029,-0.095637324995167,0.03352743985471786,-0.05355894222078045,-0.07496358049365637,-0.0814261527637537,-0.062080675831232376,-0.0417616028054338
491.7671,-0.09642749596337903,0.03296800551724928,-0.05468241635068079,-0.07572756357704433,-0.08205803703576794,-0.0624131067337369,-0.04132386599250347
492.7314,-0.09721825147112326,0.032206078953017234,-0.055876702110965834,-0.07695095446104794,-0.08285211547263649,-0.06329858996150306,-0.04107121102869765
493.6956,-0.09804489975716009,0.031432218799686946,-0.057131941524993936,-0.07842757626166054,-0.08369618214255019,-0.06458229356589003,-0.04111686202774259
494.6599,-0.09946944652563525,0.030307006312330888,-0.05897961830234346,-0.0803663601941985,-0.08506891047758278,-0.06641036955355634,-0.04184359564766867
495.6241,-0.10102873820218067,0.029247214390544576,-0.06086261799416769,-0.08202608044499228,-0.0863745947174505,-0.0680634091074273,-0.043201889244204775
496.5884,-0.10267912233167287,0.02803396026543315,-0.06269411110968136,-0.08342349340223766,-0.08778602374555854,-0.06952958181323499,-0.04521079131186377
497.5526,-0.10435080284295202,0.026410836384820446,-0.06437339129884125,-0.08478135430151255,-0.08953892031902586,-0.0709586999350831,-0.04758534876199732
498.5169,-0.10599547831151576,0.02429649185061162,-0.06584812297816035,-0.08631637909681593,-0.09169159820468906,-0.07250180941716126,-0.04971040018644235
499.4811,-0.10762829207144377,0.021866585129450083,-0.06721079451349796,-0.08807349585399778,-0.0940554971012267,-0.07420706796420283,-0.05108493748561638
500.4454,-0.1093146715300237,0.019442342526519697,-0.0687030434748933,-0.08993739967678577,-0.09635787501267429,-0.07606398419762544,-0.05168387239845359
501.4096,-0.11111895021939525,0.017304244096479005,-0.0705905125967123,-0.09178203365314858,-0.0984826960281433,-0.0780810579353217,-0.05209221912228903
502.3739,-0.113064680638838,0.015538880046786649,-0.07299787734953456,-0.09360006686325056,-0.10059443906626811,-0.08025617526816357,-0.05307360375422644
