cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_2-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s
477.3034,-0.3100033807887405,-0.32100095657161903,-0.3247396673040116,-0.31043899239449885,-0.3102705611642544
478.2676,-0.3100774166267952,-0.3209364063681381,-0.3247976256564866,-0.3106720319449685,-0.31025006285013096
479.2319,-0.31017077157709244,-0.32104609275938933,-0.3247097540356877,-0.3109060283497063,-0.3102754920214866
480.1961,-0.3101694514947306,-0.32125857863468726,-0.3244822600113294,-0.31095908528199906,-0.31030793322989725
481.1604,-0.310190132918051,-0.32161344576099776,-0.32433697975440245,-0.31083203939835086,-0.31042264043127976
482.1246,-0.3103190851186146,-0.3220662154973983,-0.32438663614383206,-0.31058783650764504,-0.3106167176518647
483.0889,-0.3105620965712007,-0.3225124931207176,-0.3245725670110575,-0.31034710492657247,-0.31084089460987013
484.0531,-0.310862373706196,-0.32283583377241865,-0.324751795038107,-0.3102557518988148,-0.31106068440411333
485.0174,-0.31115804971705135,-0.32296247314355847,-0.3248212887735229,-0.3103984559811765,-0.3112863430910727
485.9816,-0.311404711840403,-0.32290077332770595,-0.3247850937530793,-0.310754750890133,-0.31156159118304155
486.9459,-0.31158506610485875,-0.3227431012386541,-0.32472874597684004,-0.3112109097084485,-0.3119218350930017
487.9101,-0.3116922565472207,-0.3226076512069388,-0.32472107996608757,-0.31161188678279134,-0.31233101791486956
488.8744,-0.3117362528165717,-0.3225810763287395,-0.32475951851893275,-0.3118443996976108,-0.3126856645082502
489.8386,-0.3117443197846718,-0.32267670018122563,-0.32479532924111476,-0.3118860912492913,-0.3128446281366203
490.8029,-0.31176134185381543,-0.32287129011041527,-0.3248094125650305,-0.31180891472043865,-0.31273373295028156
491.7671,-0.3118353749104892,-0.3231402288122355,-0.32484878796476324,-0.31174132298145196,-0.3124137733131967
492.7314,-0.31200139241990504,-0.32348075847212604,-0.3249956557476861,-0.3117958485672844,-0.3120886792961224
493.6956,-0.31225728500492406,-0.3238768236836452,-0.3252809326317127,-0.3120159293634847,-0.31198707501179435
494.6599,-0.31302229948899596,-0.3247228728434938,-0.32609515279016843,-0.3128094660312442,-0.3126735638140429
495.6241,-0.3138512909411935,-0.32554108687079386,-0.3269423997426518,-0.31370540478705045,-0.31369761173529226
496.5884,-0.31473306471745505,-0.3263194208339116,-0.32780371542169345,-0.3146729318180135,-0.3149070294407469
497.5526,-0.3156948763856356,-0.32711771821067315,-0.3287374519532281,-0.3157185211972858,-0.316141308381792
498.5169,-0.3168032619204079,-0.32805784750503203,-0.3298497951776692,-0.31688414780838275,-0.3173583367492096
499.4811,-0.3181205638209704,-0.32923597543719135,-0.3311902043558155,-0.3181797879041872,-0.31861095206297435
500.4454,-0.31966066026512213,-0.3306738449330009,-0.33273406546133716,-0.31955632924241995,-0.31997698037442324
501.4096,-0.3213523682318366,-0.33228236357396634,-0.33440559693233657,-0.3209205243443219,-0.3214767814800272
502.3739,-0.3230904257665721,-0.33391246103540656,-0.33614549227686086,-0.3222109738657055,-0.3230739478381486
503.3381,-0.32478896559989606,-0.33541843988055847,-0.3379120574139959,-0.3234370583727918,-0.3246929826934317
504.3024,-0.3264320897979204,-0.33673453183356056,-0.3396745671510408,-0.32467408369592266,-0.32627141839790436
505.2666,-0.32806131466530425,-0.3378922564282123,-0.34137017919674983,-0.32598553663611085,-0.3277637647377907
506.2309,-0.3297022040437747,-0.3389908439185622,-0.3429146009569025,-0.32734237284339257,-0.32913430485501155
507.1951,-0.33134618660802073,-0.34014692902641447,-0.34426134804531244,-0.32864846925700236,-0.33036274859560366
