cm-1,CB-5e-5_0,CB-5e-5_1,CB-5e-5_2,CB-5e-5_3,CB-5e-5_4,CB-5e-5_5,CB-5e-5_6,CB-5e-5_7,CB-5e-5_8,CB-5e-5_9
3198.415,-0.01344688515922344,-0.009951337899401171,-0.006167262314369603,-0.007964262782661467,-0.0027167654425462053,-0.0036681927510510246,-0.0040155693983652185,-0.003744452618686143,-0.002396629254981852,-0.023404234655479767
3199.379,-0.013545017605397832,-0.00992722279367643,-0.0062741015791863974,-0.008004046522604525,-0.002767135509601194,-0.003804747498370277,-0.00400457660391587,-0.0038488288759769,-0.0025151405512299062,-0.023493579685244098
3200.343,-0.013623199100503353,-0.009910190204676015,-0.006325013282467212,-0.008058660101785558,-0.002859282670043089,-0.003966540688966915,-0.003984504046778482,-0.003808441610814549,-0.002676123445862113,-0.023496946233318827
3201.308,-0.013678840853311352,-0.009894228630399753,-0.0063377013262783605,-0.008119168048167532,-0.0029720897567780944,-0.004138269515533887,-0.004004214936219701,-0.003655721274729547,-0.0028541632880005404,-0.023358707353000507
3202.272,-0.013714497137834089,-0.009879027131089022,-0.006348820059407603,-0.00817591914512473,-0.003075489245429999,-0.004296960832253438,-0.00409700173542898,-0.0034676741393038168,-0.0030135590226174442,-0.023099562054717342
3203.236,-0.013736139432505682,-0.009864551157881759,-0.006391914888913536,-0.008227883497728636,-0.0031494150971824487,-0.004416697983690816,-0.004263425981092482,-0.00331009878767439,-0.003133781371118284,-0.02283606391497818
3204.2,-0.013751085387199144,-0.009845998418950268,-0.006468985480180432,-0.008284016009996065,-0.0031949657410853694,-0.0044846672355835174,-0.004477837819495057,-0.0032122931810172305,-0.0032165715217054944,-0.022714131751896814
3205.165,-0.013764236446640736,-0.00981300425567358,-0.006558736695349816,-0.008356043881726253,-0.003214343290880001,-0.00450667298233417,-0.00469892623392033,-0.0031550176525199864,-0.0032870193266884788,-0.02283253955996246
3206.129,-0.013777007816702132,-0.009769161749706969,-0.00663827811620099,-0.00844640258771871,-0.003197477937668454,-0.0045016638519333255,-0.004878270582150926,-0.0031083572638023003,-0.003365640670906385,-0.023178978397776925
3207.093,-0.013783876742762177,-0.009726079318705888,-0.006700479210510261,-0.0085433649281742,-0.003122590303542145,-0.004496282909791387,-0.004984553296969886,-0.00305101596616144,-0.003454930141303091,-0.023635487576940725
3208.057,-0.013780735676071392,-0.009710117744429626,-0.006761537638885662,-0.008623476503494251,-0.0029806984973703393,-0.004509537309821115,-0.005012663442776082,-0.0029909762545139514,-0.0035318739176567224,-0.02406025125980616
3209.021,-0.01376420192942436,-0.009739898863533823,-0.0068301421143697975,-0.00866428366103923,-0.0027806582748904777,-0.004546925046008864,-0.004993832928647908,-0.0029368964800236285,-0.0035720083057229845,-0.02431967272023608
3209.986,-0.013741765738775977,-0.009819568539466843,-0.006900764805009859,-0.008655736828597865,-0.002565423993160201,-0.004600789550649152,-0.004971457119340184,-0.0029167711220772544,-0.0035657366797553457,-0.0243579277528508
3210.95,-0.013725991370889335,-0.009922731441607354,-0.0069615449868104555,-0.008610916967227628,-0.0023930547225839826,-0.00465066052177399,-0.004978866548326174,-0.002933298594681457,-0.0035204590896141816,-0.02421100949077735
3211.914,-0.013727717231708444,-0.010011798408023374,-0.006995060714234406,-0.008556397309282216,-0.0023189133895346577,-0.004672387409718824,-0.0050155900958437655,-0.002985176668792648,-0.0034673528494397377,-0.02402081267513392
3212.878,-0.013742421565887227,-0.010060754145576325,-0.006998125136511601,-0.008514978044374061,-0.0023755061359920994,-0.004660455006990762,-0.005061426717547726,-0.003048425914648578,-0.0034408097746690663,-0.023936372811119086
3213.843,-0.013759404036347242,-0.010070255082645526,-0.006976251245777528,-0.008501887367326695,-0.002541705283579737,-0.004626912768162287,-0.005077463824601541,-0.0030923634608205778,-0.0034727974110112143,-0.024055319792899824
3214.807,-0.01375408838502439,-0.01006189425802463,-0.006927832631806975,-0.008522686063021446,-0.0027583217989948484,-0.004609461715240031,-0.005032807381695608,-0.003106962331584853,-0.003560881443421616,-0.02432626116002294
3215.771,-0.013713427104126243,-0.010067698466852362,-0.0068520531046471775,-0.008577403279427988,-0.002940382472289076,-0.004641823107520403,-0.004924878127101982,-0.0031115567760459997,-0.003677772095265862,-0.02459036422636927
3216.736,-0.013632898438306739,-0.010102938306163595,-0.006755620261728123,-0.00866675476113501,-0.0030229591097648677,-0.004734294064610915,-0.00478448919677718,-0.0031335174062856476,-0.003769509274462536,-0.02469562145601804
3217.7,-0.013521476863825216,-0.010165817235130683,-0.006650016411703466,-0.008777277384815964,-0.0029891653356451287,-0.004866035915503789,-0.00467843966244654,-0.003201582206199832,-0.003795221936398196,-0.02461395636404917
3218.664,-0.013389103338999751,-0.010239199018166997,-0.006554655745585996,-0.008884056113725329,-0.002878654964196334,-0.0049868575178526895,-0.004659428314470282,-0.0033044338721043,-0.003744188379872425,-0.0244512968596107
3219.628,-0.013263736809099858,-0.010305152795858299,-0.006481851601799458,-0.008955225739681752,-0.0027742306254739234,-0.005048330392380173,-0.004737657988908756,-0.0034160359659736244,-0.0036401557332154367,-0.024341542132143363
3220.593,-0.013178928008448972,-0.010347682445066265,-0.006431221855047779,-0.008979671170249174,-0.0027470537038606774,-0.005026937446462062,-0.004872184095527238,-0.00351165741068995,-0.003531431923728411,-0.02433508519814067
3221.557,-0.013165673397358229,-0.010364438643170135,-0.006397231253469493,-0.00897433061447206,-0.002827443994519391,-0.00493910725073261,-0.004993095316899143,-0.0035852662362245323,-0.0034681631716416434,-0.02438027058558109
3222.521,-0.013235191071151833,-0.01035884172751482,-0.006376722625929135,-0.008975227724205389,-0.0029773874432963993,-0.00482883064248528,-0.005046645929859551,-0.0036495533818039962,-0.0034827757587867422,-0.024345816070128846
3223.485,-0.013371154386481041,-0.01034467669406619,-0.0063760585441039325,-0.009011494275807665,-0.0031246137254762204,-0.00474235342836925,-0.0050216194770417435,-0.003725923884997637,-0.0035764014574952963,-0.024186930781696033
3224.449,-0.013547157672813524,-0.0103331028252728,-0.006405192815463273,-0.00907865443660213,-0.0032023761954413314,-0.004703199586411306,-0.004954967927666157,-0.0038331300945822536,-0.0037120868966093504,-0.0239272726108546
