cm-1,AuNP_0,AuNP_60,AuNP_120,AuNP_180,AuNP_240,AuNP_300,AuNP_600
1579.5,0.00909533347323171,0.008309593112197962,0.00947964800630667,0.00956353935347998,0.015760483916139385,0.008527012921353652,0.011186401349271425
1580.0,0.009331950440079458,0.008476797845615777,0.009683607093063323,0.009753147118058808,0.016072403416747767,0.0087079899817481,0.011422518992465732
1580.5,0.009569427610723255,0.008657490385000573,0.009888302875746581,0.009972716516809498,0.01643361347916807,0.008889622757561381,0.011659495024201216
1581.0,0.009824829132366614,0.008851815032504545,0.010108443362074207,0.010178418343108488,0.016772011538357577,0.009084962365486322,0.011914357581870098
1581.5,0.010064108200783762,0.0090338668702334,0.010299925951823925,0.010384869540192222,0.017111643664572154,0.009254874583078849,0.0121531317089036
1582.0,0.01032145500495172,0.009216582267285523,0.010506864103279341,0.010592075587938427,0.01745251889153519,0.009451645441301882,0.012392783683966088
1582.5,0.01057981966333356,0.009413090628659129,0.010744293842288253,0.010814926016376784,0.017843624464455102,0.009649191702256168,0.0126677548854567
1583.0,0.010856539643524019,0.009623552103027466,0.010967791284328381,0.011053603035351457,0.01821178363810952,0.009847519501289875,0.012926598099673956
1583.5,0.011117033592228532,0.009821665463740897,0.011192173633421837,0.011278279387221507,0.018606097548905493,0.01004663504685913,0.013186473249699019
1584.0,0.011396043573849712,0.010020564886666137,0.011432498098253483,0.011503850035007326,0.018977289262608634,0.010259900314135744,0.01346482014200115
1584.5,0.01169380328363077,0.010246942404989343,0.01167384604007071,0.011760586902012139,0.019399769485598677,0.010487493187847892,0.013744360699244835
1585.0,0.011992926476971345,0.01046094152952336,0.011931409449569193,0.012003288733025162,0.01979915633270058,0.010702646270395261,0.01404269194672265
1585.5,0.012275710955984133,0.010675858123633558,0.012174896088076466,0.01224703444609261,0.020200263289968014,0.010918726739784402,0.014324727059683184
1586.0,0.012577516878048688,0.010891700088063217,0.012419433373368675,0.012507168140522709,0.020628340810062207,0.011149337362078475,0.014625732479643983
1586.5,0.01289860327751548,0.011135638373773352,0.012695805013713956,0.01278391156531445,0.021083754322341285,0.011394675166349144,0.014945966406524073
1587.0,0.013239248797680079,0.011380769516478373,0.012973531053566063,0.013062013060332323,0.021541405747841625,0.011641219554836808,0.015267781308182064
1587.5,0.01356361250620924,0.011627105239658963,0.013252624833192136,0.013341486020322648,0.02200131718954397,0.011888982454311298,0.015591192872446081
1588.0,0.013907752811414636,0.011874657440478428,0.01353309989092924,0.013622344039184246,0.022463511079508315,0.012137975969260676,0.015916217021811806
1588.5,0.014271975180355934,0.012151156866202313,0.013846375580527506,0.013936049744334617,0.022979764495012427,0.01241609369387957,0.01627926593460993
1589.0,0.014656606984283598,0.012443132062618403,0.01417718958081602,0.014267320446681844,0.02352492826251011,0.012709787494417984,0.01666265607206202
1589.5,0.015061998547151774,0.012736817822319755,0.01450994602030665,0.014600538992992712,0.02407330204124404,0.013005212066782856,0.017048314483838856
