cm-1,CB-5e-4_0,CB-5e-4_30,CB-5e-4_120,CB-5e-4_9001
852.4182,1.0309702339410995,1.05980719183647,1.0716259805328792,1.0731387364413065
854.3467,1.0119847616495257,1.0391766742229553,1.0504201098821864,1.0515029548970585
856.2753,0.9983225705706223,1.023481676611329,1.0345185705490938,1.0353136356490282
858.2039,0.9884986539669339,1.0113950206381912,1.0225048195497823,1.0230961862699037
860.1324,0.9790588101670146,0.9996754008772327,1.0110113302289032,1.0114359268827804
862.061,0.9654866549816746,0.9840474388246931,0.995632122076819,0.9958970292886904
863.9895,0.9434281370965046,0.9603832824295337,0.9721251882721569,0.9722304681957473
865.918,0.9099310950958236,0.9258702374501881,0.9376028154319513,0.9375588767325174
867.8466,0.8642718840170279,0.8797944337483775,0.8913157157970839,0.8911511400453092
869.7751,0.8080719237911611,0.823648606757747,0.8347614248740453,0.8345192593652048
871.7037,0.7446810805294719,0.7605735978249503,0.7711023018578635,0.7708266416617867
873.6323,0.6781788294158482,0.694425982854612,0.7042296586399648,0.7039515978121095
875.5608,0.612412362428352,0.6288840159506257,0.6378570512943382,0.6375866569103474
877.4893,0.5503766693198344,0.5668552116146717,0.5749338553256993,0.5746583308691938
879.4179,0.4939828040324941,0.5102550333544869,0.5174183142452676,0.5171104919728319
881.3464,0.44414162373447336,0.4600648166696925,0.4663453360544825,0.4659715280078668
883.275,0.40098690249095065,0.4165387130341679,0.4220288740574984,0.4215575022215783
885.2036,0.364143084290703,0.37944273006202317,0.3843064361941081,0.3837141675133853
887.1321,0.3329466977353562,0.34826160203704914,0.35274724464080626,0.35202329057378257
889.0606,0.30661913921076767,0.3223548334358365,0.32680899346256687,0.32595445909050724
890.9892,0.2843712259134313,0.3010510364068881,0.30593144963605884,0.30496014646267555
892.9177,0.2654766016162278,0.2837096834534758,0.28958281590483037,0.2885233647979832
894.8463,0.24930974048143462,0.2697386279054309,0.2772580814056653,0.27615464668418394
896.7748,0.2353633425920577,0.25859542827486937,0.26844528294375614,0.26735770826085326
898.7034,0.22324948976548384,0.24976839458251235,0.26257515761813965,0.2615757209322147
900.6319,0.21267915874883628,0.24274889808743394,0.2589680213515569,0.25813690801451467
902.5605,0.20343370565015068,0.2370162933099745,0.25681134021664676,0.2562256244485437
904.489,0.1953406002261366,0.23204151861542924,0.2551971350652676,0.25491715687629407
906.4175,0.18825296668199262,0.22732869918398443,0.2532121625079531,0.2532674982607103
908.3461,0.18204810797194945,0.2224702875080165,0.2500781873482244,0.250457952317998
910.2747,0.17662897452558682,0.2172159846604132,0.24528885782156856,0.24593946006388037
912.2032,0.1719366465697759,0.2115118604567019,0.23870976807029587,0.23954059745965817
914.1318,0.16794743082240907,0.20550215267340632,0.23058935228031693,0.23148698475538226
916.0603,0.164665608912433,0.19948656242049306,0.22148867637155845,0.22233249752499132
917.9888,0.16210777332790158,0.19384317223188333,0.21214143346656372,0.2128202836439739
919.9174,0.16028818175035645,0.18894265742109428,0.2032980274146979,0.2037209667819847
921.8459,0.15920905168529118,0.1850818908740119,0.19559237920807168,0.19569248778676493
923.7745,0.1588674751888609,0.18244578224580493,0.1894675416782022,0.1891999995623548
925.7031,0.1592644789966373,0.18110827611726746,0.1851587429121299,0.18449555770404036
927.6316,0.1604192623789267,0.1810553611452921,0.1827278559587193,0.18165315901294957
929.5601,0.16238429789176415,0.18222814134685442,0.1821275922380444,0.18063325982658823
931.4887,0.16524606459575997,0.1845492956267052,0.18325897409376493,0.1813426798684934
933.4172,0.16912364613753098,0.18795712415756796,0.18601991120809944,0.18368741029304791
935.3458,0.17417173867400698,0.1924237386894614,0.19034170482648888,0.18760578637522965
937.2744,0.18057682587292256,0.1979722667388166,0.19620339656430177,0.19308380335447725
939.2029,0.1885524575321675,0.20469041663218884,0.2036452676673865,0.20016339605495148
941.1314,0.19832284747470716,0.21273710386779796,0.21276564247544363,0.2089414431071498
943.06,0.21009477390802114,0.22233428898054705,0.22371401525959655,0.21956023077705764
944.9885,0.22401404161543992,0.23374828610179385,0.2366725466658245,0.2321926128461978
946.9171,0.24012598932319706,0.247256691736008,0.25183198425197467,0.24702235637314704
948.8456,0.258352615526986,0.26311862325689406,0.26937009322238387,0.26422563770108576
950.7742,0.27850978423902195,0.2815556142881585,0.2894439576772634,0.28396510520105017
