cm-1,CB-5e-5_0,CB-5e-5_5,CB-5e-5_10,CB-5e-5_20,CB-5e-5_30,CB-5e-5_40,CB-5e-5_50,CB-5e-5_60,CB-5e-5_120
432.9479,-0.0819300324854793,-0.1080234427098108,-0.10842884796500174,-0.04396099526033902,-0.07463080932008914,-0.03694193203722652,-0.0020585018163474336,-0.07621725827663364,0.0054586794445356905
433.9122,-0.0819133921741857,-0.10810428305573885,-0.10647155166211186,-0.04447667241350973,-0.07480136792506559,-0.03732786102141826,-0.0021540578254262057,-0.07650161954940098,0.005077636509358393
434.8764,-0.0818294755493026,-0.1084863140517455,-0.10462140392560544,-0.0453485773522795,-0.07483670321941875,-0.037555376981552056,-0.002381088059762296,-0.0765532448961992,0.004733807373467151
435.8407,-0.08168625051602607,-0.10892319382137265,-0.10300550619959796,-0.046321336888843066,-0.0748313653197101,-0.03765591696212159,-0.0026195799324213974,-0.07644387886953465,0.0044302370876424255
436.8049,-0.08144765367320793,-0.10912292781057514,-0.10167145505739829,-0.04709886061646057,-0.074989782204997,-0.03770805028273198,-0.0028301208252972184,-0.0762585976537901,0.004233529597649256
437.7692,-0.08109360674515519,-0.10890038863113265,-0.1007934844795302,-0.04744291815659854,-0.07541443597849215,-0.03774691402952348,-0.0030211693088742584,-0.0760702776354105,0.004263969641361827
438.7334,-0.08070251011469216,-0.10830889178653362,-0.10071272043449059,-0.047261583240322196,-0.07598703279361886,-0.03774306425597572,-0.003224327483495455,-0.07591418744588171,0.004568129404370857
439.6977,-0.08047995475740134,-0.10760610067890086,-0.10169346401918195,-0.04663139434981595,-0.07639772724556672,-0.03765950387299841,-0.0034870387382428727,-0.07582283472783956,0.005028772687613304
440.6619,-0.08064586471970643,-0.10711358963917202,-0.10359737799914112,-0.04576477188954817,-0.07635775045068412,-0.0375147264340733,-0.0038496051753498677,-0.07583568275794227,0.005404785882555294
441.6262,-0.081273173457436,-0.1070478599347523,-0.10590605055851979,-0.04492329082333733,-0.07578986129400887,-0.0374028900134047,-0.004300247483590905,-0.07598721817331824,0.0054669007328398645
442.5904,-0.08220464341438254,-0.10741910516845067,-0.10816204624449582,-0.04429484999097742,-0.0749116740730567,-0.03741564384400846,-0.004775774169196206,-0.07624986881326384,0.005118910376351728
443.5547,-0.08310802492038595,-0.1080088431583465,-0.11033960586887483,-0.0439613957119064,-0.07411150793414745,-0.03755708725260093,-0.005225205084768956,-0.07652713383021628,0.004408293886657462
444.5189,-0.08369384560002571,-0.10846837655357991,-0.11272578003509878,-0.043923004594250206,-0.07373100586861427,-0.03770540169176913,-0.005649446656991022,-0.07670822383058828,0.0034977504546557484
445.4832,-0.08388544166519976,-0.1084797192277982,-0.11540638543751548,-0.04417879216237302,-0.07388686348691757,-0.037701012883377176,-0.0060959973382475685,-0.07675929012001685,0.002598864021174422
446.4474,-0.08383200879432491,-0.10793313133665323,-0.11790632131632686,-0.04473842148670533,-0.07445076227629595,-0.03747176668794102,-0.006583455818071615,-0.07672994818260927,0.0019163331544861837
447.4117,-0.08376218570997648,-0.10703284093697599,-0.11933068063303541,-0.045589133832091365,-0.07517007647049882,-0.03711311220139054,-0.0070431666287699935,-0.07669026539876292,0.0015539023509979278
448.3759,-0.08383492895056166,-0.10627262445694909,-0.11892328884804085,-0.04666945465965561,-0.07586293445988347,-0.03686202511263765,-0.007382483645051041,-0.07668307653835306,0.0014574234224898868
449.3401,-0.08401445691529288,-0.10609024285593076,-0.11647021750571653,-0.047796429835914436,-0.07643945548438504,-0.03687828932447985,-0.007451444078730628,-0.0766456951501818,0.0015270828831274168
450.3044,-0.08420393243275341,-0.10667828543678401,-0.11249600200741212,-0.04879971422847567,-0.07694980117688209,-0.03721302330797518,-0.007215603715897915,-0.07654967447459297,0.0016656797820524744
451.2687,-0.08432185531615227,-0.1078084993858501,-0.1080536409853601,-0.049573383174483614,-0.0774696422721877,-0.03778779749329294,-0.006743135161434231,-0.07645398991938591,0.0018427182670616637
452.2329,-0.08433921421836543,-0.10898006933137461,-0.10433576776619212,-0.05008393454759175,-0.07799072295803226,-0.03848419723823996,-0.0061622766126298665,-0.07649263347388867,0.0020782649786360704
453.1972,-0.08428806393041147,-0.10975914679640526,-0.10221342004277736,-0.05032776428369358,-0.07841258068882288,-0.039230301319622914,-0.00558747079152823,-0.0767908785763025,0.0023682493849763835
454.1614,-0.08424420522678809,-0.110047345185089,-0.10188728127860457,-0.05029943320584769,-0.07861377737568871,-0.03999531487643532,-0.005062014396923791,-0.0773867857151618,0.0026604521788268615
455.1257,-0.08428998721787258,-0.11009170780090982,-0.1028519947103366,-0.05000752490634639,-0.0785420378142423,-0.040735326533128606,-0.00454641009793625,-0.07819075822992914,0.002854784319929431
456.0899,-0.08447113201217277,-0.11023917314002438,-0.10426141409492934,-0.049543049838800785,-0.07826718298619133,-0.041359129597639245,-0.0040084373909724256,-0.07903804225674589,0.00288857636112198
457.0542,-0.0847599562467639,-0.11065910586874364,-0.10544383506477488,-0.04911644704296754,-0.0779097769994367,-0.04176631385704537,-0.003487572428719111,-0.07975192764960237,0.0027485354174969128
458.0184,-0.08505290533413337,-0.11124320424436063,-0.10622019538680065,-0.04898269621945963,-0.07756633381622523,-0.04191603244870896,-0.00312999133836237,-0.08019821320138185,0.002479060631533578
458.9827,-0.0852528039424317,-0.11174400199232044,-0.10680637077002907,-0.04930824593280915,-0.07727618258020288,-0.04184679641760984,-0.0030906210766430803,-0.08030858758919168,0.0021378231024348697
459.9469,-0.08533599140888173,-0.11198067897980817,-0.10749258527728656,-0.0500433287586585,-0.0770887154031552,-0.04165347922370234,-0.0034230551800361383,-0.08010983068997848,0.0017559081595884829
460.9112,-0.08538746928975491,-0.11195786674005033,-0.108384911575802,-0.050925969281621845,-0.07709467309813334,-0.04144164851205956,-0.004006429698228482,-0.0797392922670881,0.0013301242549255518
461.8754,-0.08552519569349518,-0.11182251247259957,-0.10937839366468492,-0.051623517607950455,-0.07740216467371805,-0.041326295055401356,-0.004619640055425741,-0.07941275474600974,0.0008652325503193014
462.8397,-0.08581156826494905,-0.1117458701145503,-0.11028286149402247,-0.05191955926406472,-0.07802014582335393,-0.041416603356057874,-0.005072633143145444,-0.07931050212415912,0.00038219262210396524
